uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
4130d93a56df11efb70628c2dd2980ba,70,Jingliu,80,Ice,I Shall Be My Own Sword,80.0,6,10,10,10,4398.947,2272.683,1027.003,130.032,37.3,224.588,48.88,0.0,0.0,24.192,11.232,33.696,0.0,27.648,4.32,9.72,24.3,52.488,24.192,11.232,33.696,CRIT DMG,SPD,Ice DMG Boost,ATK,Hunter of Glacial Forest,Rutilant Arena
4130d93a56df11efb70628c2dd2980ba,70,Jing Yuan,80,Lightning,,,6,10,10,10,1164.24,978.632,566.694,99.0,22.832,50.0,38.88,0.0,0.0,6.912,0.0,0.0,0.0,0.0,12.096,4.32,5.832,0.0,6.912,0.0,0.0,,,Lightning DMG Boost,,,
4130d93b56df11ef86f828c2dd2980ba,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,6,10,10,10,3329.148,2401.378,1547.905,147.472,7.592,77.864,0.0,0.0,0.0,45.216,0.0,240.956,7.2,26.352,10.8,14.04,2.592,27.864,27.216,0.0,62.856,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d93b56df11ef86f828c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3153.588,3375.083,1110.119,101.0,55.88,248.672,46.88,0.0,0.0,0.0,32.4,10.368,0.0,12.096,10.8,24.3,38.88,73.872,0.0,32.4,10.368,CRIT DMG,ATK,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Inert Salsotto
4130d93b56df11ef86f828c2dd2980ba,70,Ruan Mei,80,Ice,Memories of the Past,80.0,1,10,10,10,5793.151,1783.828,1218.571,126.44,16.34,61.664,0.0,0.0,19.439,0.0,12.096,160.428,11.2,0.0,15.12,15.66,11.34,11.664,0.0,12.096,88.128,HP,HP,HP,Energy Regeneration Rate,Messenger Traversing Hackerspace,Fleet of the Ageless
4130d93b56df11ef86f828c2dd2980ba,70,Kafka,80,Lightning,Patience Is All You Need,80.0,6,10,10,10,3505.924,3889.617,1163.337,129.332,18.284,68.144,38.88,0.0,0.0,8.208,58.608,16.2,4.3,18.576,37.152,18.9,13.284,18.144,8.208,40.608,16.2,ATK,SPD,Lightning DMG Boost,ATK,Prisoner in Deep Confinement,Space Sealing Station
4130d93b56df11ef86f828c2dd2980ba,70,Fu Xuan,80,Quantum,Trend of the Universal Market,80.0,2,10,10,10,8509.605,1188.936,1880.266,133.932,26.94,85.64,0.0,0.0,0.0,21.664,3.888,47.952,8.9,31.968,0.0,42.12,3.24,35.64,11.664,3.888,47.952,HP,SPD,HP,HP,"Longevous Disciple, Flex",Fleet of the Ageless
4130d93b56df11ef86f828c2dd2980ba,70,Black Swan,80,Wind,Eyes of the Prey,80.0,6,10,10,10,2859.095,3056.082,895.893,137.932,19.904,61.664,53.28,0.0,0.0,15.984,132.144,5.832,10.9,0.0,41.904,5.4,14.904,11.664,15.984,28.944,5.832,Effect Hit Rate,SPD,Wind DMG Boost,ATK,Prisoner in Deep Confinement,Pan-Cosmic Commercial Enterprise
4130d93b56df11ef86f828c2dd2980ba,70,Sparkle,80,Quantum,Dance! Dance! Dance!,80.0,2,10,10,10,4326.57,1561.126,934.922,160.892,8.24,169.256,0.0,0.0,19.439,10.0,29.376,29.808,28.8,19.44,23.76,0.0,3.24,30.456,0.0,29.376,29.808,CRIT DMG,SPD,Physical DMG Boost,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",
4130d93c56df11efa75928c2dd2980ba,70,Firefly,80,Fire,On the Fall of an Aeon,80.0,1,10,10,10,3135.054,2426.279,1413.772,155.772,16.016,50.0,0.0,0.0,0.0,21.888,8.64,214.004,15.5,12.96,3.456,20.52,11.016,0.0,3.888,8.64,95.904,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d93c56df11efa75928c2dd2980ba,70,Sparkle,80,Quantum,Dance! Dance! Dance!,80.0,1,10,10,10,4126.821,1829.377,1296.367,160.292,13.748,186.752,0.0,0.0,19.439,42.896,0.0,0.0,28.2,15.984,8.208,36.18,8.748,47.952,22.896,0.0,0.0,CRIT DMG,SPD,ATK,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",Broken Keel
4130d93c56df11efa75928c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,1,10,10,10,3041.847,4320.63,903.367,108.8,64.728,220.976,8.0,0.0,0.0,7.344,7.344,5.184,7.8,0.0,23.328,4.32,23.328,104.976,7.344,7.344,5.184,CRIT Rate,ATK,ATK,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
4130d93c56df11efa75928c2dd2980ba,70,Robin,80,Physical,For Tomorrow's Journey,80.0,1,10,10,10,3618.949,3967.382,1176.359,120.8,11.156,83.696,0.0,0.0,19.439,0.0,26.784,18.144,13.8,11.232,11.664,28.62,6.156,33.696,0.0,26.784,18.144,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Fleet of the Ageless
4130d93c56df11efa75928c2dd2980ba,70,Kafka,80,Lightning,Good Night and Sleep Well,80.0,1,10,10,9,2982.634,4005.551,1009.696,127.3,22.496,50.0,38.88,0.0,0.0,16.416,30.096,6.48,27.3,11.664,15.12,23.76,17.496,0.0,16.416,12.096,6.48,ATK,ATK,Lightning DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
4130d93c56df11efa75928c2dd2980ba,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,4,10,10,10,5008.755,1615.827,1532.573,148.132,5.0,79.16,0.0,0.0,24.439,3.888,25.92,183.932,14.1,0.0,0.0,24.84,0.0,29.16,3.888,25.92,70.632,HP,SPD,HP,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations",Sprightly Vonwacq
4130d93c56df11efa75928c2dd2980ba,70,Fu Xuan,80,Quantum,Day One of My New Life,80.0,4,10,7,10,7429.41,1493.446,1633.68,140.0,23.7,56.48,0.0,0.0,19.439,34.688,11.664,6.48,34.0,12.528,23.76,23.22,0.0,6.48,14.688,11.664,6.48,HP,HP,HP,Energy Regeneration Rate,"Longevous Disciple, Messenger Traversing Hackerspace",Broken Keel
4130d93c56df11efa75928c2dd2980ba,70,Silver Wolf,80,Quantum,Before the Tutorial Mission Starts,80.0,1,10,10,10,3620.068,1704.548,930.336,158.252,16.664,66.2,8.0,0.0,19.439,45.36,121.504,17.496,19.8,33.696,3.456,15.12,11.664,16.2,45.36,20.304,17.496,Effect Hit Rate,SPD,Lightning DMG Boost,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",Fleet of the Ageless
4130d94356df11ef93d728c2dd2980ba,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,7,12,12,12,3021.507,2653.841,1434.49,154.372,5.0,56.48,0.0,0.0,0.0,18.0,4.32,264.932,14.1,11.664,34.56,0.0,0.0,6.48,0.0,4.32,86.832,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d94356df11ef93d728c2dd2980ba,70,Kafka,80,Lightning,Patience Is All You Need,80.0,6,10,10,10,3183.672,4335.467,990.488,146.9,8.24,60.368,38.88,0.0,0.0,8.208,29.664,23.976,46.9,0.0,26.784,0.0,3.24,10.368,8.208,11.664,23.976,ATK,ATK,Lightning DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
4130d94356df11ef93d728c2dd2980ba,70,Ruan Mei,80,Ice,Memories of the Past,80.0,6,10,10,10,4610.983,1573.039,1571.02,147.472,7.916,50.0,0.0,0.0,24.439,7.776,7.776,249.268,7.2,3.456,7.776,49.14,2.916,0.0,7.776,7.776,139.968,HP,SPD,HP,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Watchmaker, Master of Dream Machinations",Sprightly Vonwacq
4130d94356df11ef93d728c2dd2980ba,70,Trailblazer,80,Imaginary,Past Self in Mirror,80.0,7,12,12,12,3893.744,1402.383,2240.366,157.032,11.156,50.0,14.4,0.0,0.0,24.688,22.464,262.988,20.7,3.456,0.0,28.08,6.156,0.0,14.688,22.464,84.888,DEF,SPD,HP,Break Effect,"Watchmaker, Master of Dream Machinations",Forge of the Kalpagni Lantern
4130d94356df11ef93d728c2dd2980ba,70,Gallagher,80,Fire,Post-Op Conversation,80.0,7,9,9,12,3923.717,1453.64,1384.105,150.512,5.0,50.0,0.0,34.561,29.439,59.104,11.232,99.284,21.6,18.144,7.344,10.26,0.0,0.0,31.104,11.232,69.984,Outgoing Healing Boost,SPD,DEF,Energy Regeneration Rate,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d94356df11ef93d728c2dd2980ba,70,Black Swan,80,Wind,Reforged Remembrance,80.0,6,10,10,10,3206.663,3303.205,1200.605,150.332,16.34,61.016,53.28,0.0,0.0,0.0,131.648,0.0,23.3,11.664,39.312,24.84,11.34,11.016,0.0,38.448,0.0,Effect Hit Rate,SPD,Wind DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
4130d94356df11ef93d728c2dd2980ba,70,Seele,80,Quantum,River Flows in Spring,70.0,6,10,10,10,2678.821,3156.681,913.694,119.9,72.292,131.672,48.88,0.0,0.0,11.232,7.344,18.144,4.9,14.688,35.424,9.72,26.892,57.672,11.232,7.344,18.144,CRIT Rate,ATK,Quantum DMG Boost,ATK,Genius of Brilliant Stars,Rutilant Arena
4130d94356df11ef93d728c2dd2980ba,70,Bronya,80,Wind,But the Battle Isn't Over,80.0,5,10,10,10,3309.188,1905.044,1104.299,160.072,16.016,188.048,11.2,0.0,29.439,31.232,12.096,5.184,30.1,8.208,31.104,10.8,11.016,49.248,11.232,12.096,5.184,CRIT DMG,SPD,Quantum DMG Boost,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",Broken Keel
4130d94456df11ef83ad28c2dd2980ba,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,5,10,10,10,2863.948,2555.448,1726.224,153.772,7.916,55.832,0.0,0.0,0.0,30.528,0.0,256.508,13.5,6.912,19.008,29.16,2.916,5.832,12.528,0.0,78.408,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d94456df11ef83ad28c2dd2980ba,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,5,10,10,10,3200.749,1875.656,2073.575,163.132,7.592,68.144,38.88,0.0,0.0,0.0,0.0,242.052,29.1,3.888,22.032,23.76,2.592,18.144,0.0,0.0,47.952,DEF,SPD,Ice DMG Boost,Break Effect,"Watchmaker, Master of Dream Machinations",Talia: Kingdom of Banditry
4130d94456df11ef83ad28c2dd2980ba,70,Jingliu,80,Ice,I Shall Be My Own Sword,80.0,6,10,10,10,3641.957,2600.78,994.193,132.632,33.088,268.004,48.88,0.0,0.0,11.232,0.0,18.144,2.6,0.0,27.648,4.32,20.088,95.904,11.232,0.0,18.144,CRIT DMG,SPD,Ice DMG Boost,ATK,Hunter of Glacial Forest,Rutilant Arena
4130d94456df11ef83ad28c2dd2980ba,70,Aventurine,80,Imaginary,Trend of the Universal Market,80.0,5,9,8,8,3345.8,1197.758,3775.82,113.5,24.34,152.384,14.4,0.0,19.439,17.344,3.888,16.848,7.5,3.456,3.456,48.06,11.34,37.584,7.344,3.888,16.848,CRIT DMG,DEF,DEF,Energy Regeneration Rate,Knight of Purity Palace,Inert Salsotto
4130d94456df11ef83ad28c2dd2980ba,70,Jing Yuan,80,Lightning,Today Is Another Peaceful Day,80.0,4,8,9,10,3036.013,3175.812,1084.015,109.1,51.244,160.808,38.88,0.0,0.0,0.0,0.0,52.488,10.1,12.096,7.776,22.68,26.244,46.008,0.0,0.0,52.488,CRIT DMG,ATK,Lightning DMG Boost,ATK,The Ashblazing Grand Duke,Inert Salsotto
4130d94456df11ef83ad28c2dd2980ba,70,Luocha,80,Imaginary,Time Waits for No One,80.0,6,10,10,10,5245.959,3918.284,989.507,134.632,13.748,61.664,0.0,22.0,0.0,24.192,18.576,23.976,8.6,24.192,22.464,0.0,8.748,11.664,24.192,18.576,23.976,ATK,SPD,ATK,ATK,Passerby of Wandering Cloud,Fleet of the Ageless
4130d94456df11ef83ad28c2dd2980ba,70,Welt,80,Imaginary,In the Name of the World,80.0,5,8,8,7,3461.184,2545.034,1150.939,127.032,67.32,61.016,53.28,0.0,0.0,42.016,41.968,17.496,0.0,19.008,8.208,18.36,25.92,11.016,38.016,31.968,17.496,CRIT Rate,SPD,Imaginary DMG Boost,ATK,Pioneer Diver of Dead Waters,Pan-Cosmic Commercial Enterprise
4130d94456df11ef83ad28c2dd2980ba,70,Gepard,80,Ice,Moment of Victory,80.0,4,7,9,6,3657.184,1519.757,3616.123,119.632,5.0,60.368,11.2,0.0,19.439,18.256,82.752,46.656,2.6,13.824,8.64,62.64,0.0,10.368,14.256,15.552,46.656,Effect Hit Rate,SPD,DEF,Energy Regeneration Rate,"Knight of Purity Palace, Flex",Belobog of the Architects
4130d94556df11ef979528c2dd2980ba,70,Huohuo,80,Wind,Night of Fright,80.0,6,10,10,10,6616.823,1822.578,1409.77,160.912,5.0,50.0,0.0,34.561,31.439,31.456,7.344,0.0,27.0,44.928,30.672,30.24,0.0,0.0,3.456,7.344,0.0,Outgoing Healing Boost,SPD,HP,Energy Regeneration Rate,"Longevous Disciple, Messenger Traversing Hackerspace",Broken Keel
4130d94556df11ef979528c2dd2980ba,70,Gallagher,80,Fire,Post-Op Conversation,80.0,6,10,10,12,3429.408,1658.815,1154.232,154.812,23.468,62.312,38.88,34.561,33.439,24.8,0.0,62.996,25.9,11.232,23.328,39.96,18.468,12.312,10.8,0.0,33.696,Outgoing Healing Boost,SPD,Fire DMG Boost,Energy Regeneration Rate,Musketeer of Wild Wheat,Talia: Kingdom of Banditry
4130d94556df11ef979528c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3003.009,3710.888,941.51,105.9,81.04,214.328,46.88,0.0,0.0,0.0,8.208,0.0,4.9,3.456,31.536,12.96,35.64,104.328,0.0,8.208,0.0,CRIT Rate,ATK,Lightning DMG Boost,ATK,Genius of Brilliant Stars,Inert Salsotto
4130d94556df11ef979528c2dd2980ba,70,Seele,80,Quantum,,,6,10,10,10,1007.6,1096.248,409.303,123.6,13.0,107.696,38.88,0.0,0.0,0.0,19.872,0.0,8.6,0.0,0.0,0.0,0.0,33.696,0.0,19.872,0.0,,,Quantum DMG Boost,ATK,,Rutilant Arena
4130d94556df11ef979528c2dd2980ba,70,Clara,80,Physical,Dance at Sunset,80.0,2,10,10,10,2530.282,1688.924,948.15,90.0,5.0,86.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4130d94556df11ef979528c2dd2980ba,70,Sparkle,80,Quantum,But the Battle Isn't Over,80.0,2,10,10,10,4609.046,1670.48,1481.32,147.892,5.0,188.696,0.0,0.0,29.439,27.776,19.008,18.144,15.8,35.424,8.64,0.0,0.0,49.896,7.776,19.008,18.144,CRIT DMG,SPD,DEF,Energy Regeneration Rate,Messenger Traversing Hackerspace,Broken Keel
4130d94556df11ef979528c2dd2980ba,70,Yukong,80,Imaginary,For Tomorrow's Journey,80.0,7,12,12,12,2876.409,1939.548,876.64,126.0,53.6,90.176,61.28,0.0,19.439,30.304,3.888,11.664,19.0,12.096,3.888,14.04,16.2,40.176,20.304,3.888,11.664,CRIT Rate,,Imaginary DMG Boost,Energy Regeneration Rate,"Genius of Brilliant Stars, Flex",Broken Keel
4130d94656df11efa8cf28c2dd2980ba,70,Herta,80,Ice,The Birth of the Self,80.0,4,10,10,10,2487.954,2177.652,891.371,127.332,78.668,108.968,71.28,0.0,0.0,15.984,32.4,0.0,2.3,0.0,27.216,0.0,26.568,58.968,15.984,32.4,0.0,CRIT Rate,SPD,Ice DMG Boost,ATK,Hunter of Glacial Forest,Inert Salsotto
4130d94656df11efa8cf28c2dd2980ba,70,Firefly,80,Fire,On the Fall of an Aeon,80.0,6,10,10,10,2578.968,2489.117,1608.138,157.772,16.664,61.664,0.0,0.0,0.0,44.784,7.776,180.956,17.5,0.0,11.232,33.48,11.664,11.664,26.784,7.776,62.856,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d94656df11efa8cf28c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3197.26,3759.795,1083.855,105.9,77.364,161.84,46.88,0.0,0.0,3.888,0.0,5.184,4.9,10.8,27.648,9.72,35.964,51.84,3.888,0.0,5.184,CRIT Rate,ATK,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
4130d94656df11efa8cf28c2dd2980ba,70,Fu Xuan,80,Quantum,Landau's Choice,80.0,4,10,4,10,6463.929,1376.281,2481.73,136.5,18.4,50.0,0.0,0.0,0.0,65.792,0.0,11.016,36.5,19.44,15.12,32.4,0.0,0.0,45.792,0.0,11.016,DEF,HP,HP,DEF,"Guard of Wuthering Snow, Longevous Disciple",Broken Keel
4130d94656df11efa8cf28c2dd2980ba,70,Jingliu,80,Ice,I Shall Be My Own Sword,80.0,4,10,8,10,3736.052,2572.985,1129.667,160.792,37.624,203.204,48.88,0.0,0.0,15.12,16.416,5.184,25.0,3.456,29.808,23.76,24.624,31.104,15.12,16.416,5.184,CRIT DMG,SPD,Ice DMG Boost,ATK,"Hunter of Glacial Forest, Messenger Traversing Hackerspace",Rutilant Arena
4130d94656df11efa8cf28c2dd2980ba,70,Trailblazer,80,Imaginary,Memories of the Past,80.0,4,10,12,12,3358.357,1369.983,2426.889,162.832,10.184,61.016,14.4,0.0,0.0,21.664,8.64,230.924,32.8,26.352,12.096,10.26,5.184,11.016,11.664,8.64,40.824,DEF,SPD,DEF,Break Effect,"Watchmaker, Master of Dream Machinations",Talia: Kingdom of Banditry
4130d94656df11efa8cf28c2dd2980ba,70,Sparkle,80,Quantum,But the Battle Isn't Over,80.0,6,10,10,10,5465.554,1767.021,1389.848,161.992,5.0,167.312,0.0,0.0,34.439,10.0,18.576,12.312,29.9,11.664,30.672,42.12,0.0,28.512,0.0,18.576,12.312,CRIT DMG,SPD,HP,Energy Regeneration Rate,"Guard of Wuthering Snow, Messenger Traversing Hackerspace","Penacony, Land of the Dreams"
4130d94656df11efa8cf28c2dd2980ba,70,Bronya,80,Wind,But the Battle Isn't Over,80.0,2,10,8,4,3884.324,1598.545,1922.859,145.472,5.0,202.952,16.0,0.0,29.439,35.552,26.784,0.0,15.5,28.944,12.096,29.16,0.0,64.152,15.552,26.784,0.0,CRIT DMG,SPD,DEF,Energy Regeneration Rate,"Guard of Wuthering Snow, Messenger Traversing Hackerspace",Broken Keel
4130d94956df11efb00e28c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,2,10,10,10,3093.117,3659.285,892.763,101.0,45.612,255.152,46.88,0.0,0.0,7.344,11.664,30.456,0.0,7.776,15.984,0.0,36.612,80.352,7.344,11.664,30.456,CRIT DMG,ATK,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
4130d94956df11efb00e28c2dd2980ba,70,Jingliu,80,Ice,I Shall Be My Own Sword,80.0,6,10,10,10,4093.681,2703.996,898.935,137.792,47.668,253.1,38.88,0.0,0.0,7.776,3.888,18.144,2.0,20.304,23.328,0.0,34.668,81.0,7.776,3.888,18.144,CRIT DMG,SPD,Ice DMG Boost,ATK,"Messenger Traversing Hackerspace, Musketeer of Wild Wheat",Rutilant Arena
4130d94956df11efb00e28c2dd2980ba,70,Sparkle,80,Quantum,Earthly Escapade,80.0,1,10,10,10,4151.424,2173.851,1069.602,161.192,18.932,225.232,0.0,0.0,19.439,32.96,3.456,17.496,29.1,3.888,19.872,10.8,13.932,54.432,12.96,3.456,17.496,CRIT DMG,SPD,ATK,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",Broken Keel
4130d94956df11efb00e28c2dd2980ba,70,Fu Xuan,80,Quantum,Trend of the Universal Market,80.0,6,10,10,10,7325.958,1274.367,1591.976,137.932,41.844,79.16,0.0,0.0,19.439,47.648,6.912,0.0,6.9,40.608,3.888,38.88,18.144,29.16,27.648,6.912,0.0,HP,SPD,HP,Energy Regeneration Rate,"Longevous Disciple, Messenger Traversing Hackerspace",Broken Keel
4130d94956df11efb00e28c2dd2980ba,70,Blade,80,Wind,A Secret Vow,80.0,6,10,10,10,7329.411,1447.271,888.009,97.0,51.892,167.288,38.88,0.0,0.0,14.32,14.688,11.664,0.0,35.424,7.344,10.26,26.892,52.488,4.32,14.688,11.664,CRIT DMG,HP,Wind DMG Boost,HP,Longevous Disciple,Inert Salsotto
4130d94956df11efb00e28c2dd2980ba,70,Ruan Mei,80,Ice,Memories of the Past,80.0,6,10,10,10,4261.27,1964.956,1154.541,160.532,5.0,77.864,0.0,0.0,24.439,15.984,7.344,176.692,26.5,22.032,3.888,0.0,0.0,27.864,15.984,7.344,67.392,HP,SPD,ATK,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations, Flex","Penacony, Land of the Dreams"
4130d94956df11efb00e28c2dd2980ba,70,Luocha,80,Imaginary,Perfect Timing,80.0,6,10,10,10,5023.429,2866.754,1074.542,156.232,10.184,72.68,0.0,0.0,19.439,47.824,12.096,0.0,30.2,27.216,24.624,24.3,5.184,22.68,13.824,12.096,0.0,ATK,SPD,HP,Energy Regeneration Rate,"Prisoner in Deep Confinement, Flex",Broken Keel
4130d94a56df11ef85ef28c2dd2980ba,70,Himeko,80,Fire,Before Dawn,80.0,1,10,10,10,3151.259,2891.106,999.133,127.932,71.096,168.944,61.28,0.0,0.0,7.344,8.208,18.144,6.9,12.096,15.12,0.0,33.696,82.944,7.344,8.208,18.144,CRIT Rate,SPD,Fire DMG Boost,ATK,The Ashblazing Grand Duke,Firmament Frontline: Glamoth
4130d94a56df11ef85ef28c2dd2980ba,70,Herta,80,Ice,Yet Hope Is Priceless,80.0,2,12,12,12,2915.234,2308.49,1190.543,125.032,56.112,204.872,61.28,0.0,0.0,3.888,12.528,25.92,0.0,15.984,16.416,19.44,20.412,90.072,3.888,12.528,25.92,CRIT DMG,SPD,Ice DMG Boost,ATK,The Ashblazing Grand Duke,Inert Salsotto
