uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,relic,ornament
05ac10ae219f11ee92d028c2dd2980ba,60,Seele,75,The Hunt,Cruising in the Stellar Sea,80.0,5,7,7,7,2778.027,2656.411,987.731,115.0,44.652,180.388,48.88,0.0,0.0,15.034,0.0,39.528,Genius of Brilliant Stars,Celestial Differentiator
05ac10ae219f11ee92d028c2dd2980ba,60,Trailblazer,75,Preservation,Day One of My New Life,60.0,2,7,5,8,2571.359,1168.956,2952.968,103.4,10.184,65.163,0.0,0.0,0.0,0.0,6.912,16.459,Knight of Purity Palace,Belobog of the Architects
05ac10ae219f11ee92d028c2dd2980ba,60,Natasha,70,Abundance,Shared Feeling,70.0,2,7,7,7,3887.436,1077.886,1018.3,98.0,5.0,66.2,7.652,39.642,0.0,10.566,2.333,14.256,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10ae219f11ee92d028c2dd2980ba,60,Asta,70,Harmony,Memories of the Past,60.0,3,8,4,9,1939.603,1219.93,847.478,128.726,29.382,63.478,26.69,0.0,0.0,11.059,12.874,126.442,Thief of Shooting Meteor,Talia: Kingdom of Banditry
05ac10af219f11eeae2428c2dd2980ba,61,Silver Wolf,79,Nihility,Before the Tutorial Mission Starts,70.0,4,6,7,8,3098.502,2277.217,1039.42,113.9,18.025,64.515,39.017,0.0,12.939,0.0,68.64,19.181,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10af219f11eeae2428c2dd2980ba,61,Seele,79,The Hunt,Cruising in the Stellar Sea,70.0,5,8,8,8,2435.192,2185.541,925.124,144.632,62.553,94.534,42.348,0.0,0.0,14.083,22.464,11.664,Genius of Brilliant Stars,Inert Salsotto
05ac10af219f11eeae2428c2dd2980ba,61,Jing Yuan,79,Erudition,The Seriousness of Breakfast,60.0,5,8,8,8,2732.318,2650.134,876.159,104.94,63.051,104.302,0.0,0.0,0.0,0.0,11.232,19.31,Musketeer of Wild Wheat,Inert Salsotto
05ac10b0219f11ee983328c2dd2980ba,60,Welt,70,Nihility,In the Name of the World,70.0,1,8,8,3,2854.412,2694.731,986.664,104.3,46.148,61.016,52.08,0.0,0.0,0.0,29.44,36.288,Wastelander of Banditry Desert,Pan-Galactic Commercial Enterprise
05ac10b0219f11ee983328c2dd2980ba,60,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,60.0,1,6,5,2,2277.937,1288.298,860.992,134.852,10.832,67.496,27.994,0.0,19.439,31.104,95.926,24.624,Musketeer of Wild Wheat,Space Sealing Station
05ac10b0219f11ee983328c2dd2980ba,60,Arlan,70,Destruction,A Secret Vow,70.0,3,8,8,8,3138.483,2190.204,680.328,112.1,39.992,62.312,32.395,0.0,0.0,23.008,0.0,57.672,Band of Sizzling Thunder,
05ac10b0219f11ee983328c2dd2980ba,60,Bailu,70,Abundance,Shared Feeling,60.0,1,6,7,3,3726.176,1115.773,806.55,100.0,5.0,50.0,0.0,42.948,0.0,12.096,17.021,0.0,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10b1219f11ee809a28c2dd2980ba,61,Jing Yuan,80,Erudition,Before Dawn,74.0,3,8,8,10,3096.826,3032.187,1015.856,104.8,41.006,199.659,48.88,0.0,0.0,3.888,22.896,25.272,Band of Sizzling Thunder,Inert Salsotto
05ac10b1219f11ee809a28c2dd2980ba,61,Yanqing,71,The Hunt,Cruising in the Stellar Sea,70.0,5,8,10,9,2446.28,3025.699,1234.375,111.0,29.0,145.256,56.88,0.0,0.0,3.456,31.104,29.808,Hunter of Glacial Forest,Inert Salsotto
05ac10b1219f11ee809a28c2dd2980ba,61,Tingyun,70,Harmony,Planetary Rendezvous,70.0,6,8,10,8,2810.404,2312.287,846.427,124.62,5.0,58.813,3.2,0.0,12.939,13.997,10.886,21.514,Musketeer of Wild Wheat,Space Sealing Station
05ac10b2219f11ee8e4e28c2dd2980ba,61,Jing Yuan,80,Erudition,Before Dawn,80.0,4,8,8,9,3005.054,3362.276,1401.563,103.6,57.141,126.954,48.88,0.0,0.0,34.733,0.0,20.866,Band of Sizzling Thunder,Inert Salsotto
05ac10b2219f11ee8e4e28c2dd2980ba,61,Himeko,69,Erudition,Night on the Milky Way,70.0,2,5,6,6,2645.653,1782.132,961.763,115.432,38.712,60.498,51.371,0.0,0.0,17.91,6.566,15.034,Firesmith of Lava-Forging,Inert Salsotto
05ac10b2219f11ee8e4e28c2dd2980ba,61,March 7th,69,Preservation,Day One of My New Life,80.0,2,8,5,4,3044.496,1136.037,3307.882,111.6,15.627,55.832,6.4,0.0,0.0,8.925,0.0,29.16,Knight of Purity Palace,Belobog of the Architects
05ac10b2219f11ee8e4e28c2dd2980ba,61,Yanqing,75,The Hunt,Only Silence Remains,80.0,3,8,8,8,2863.292,2930.428,839.778,118.2,15.333,117.106,43.878,0.0,0.0,7.344,17.971,17.496,Hunter of Glacial Forest,Inert Salsotto
05ac10b3219f11ee9ea028c2dd2980ba,61,Tingyun,70,Harmony,Past and Future,70.0,6,10,10,10,2624.151,2178.102,851.783,118.72,21.2,114.93,3.2,0.0,5.0,14.256,3.456,23.328,Musketeer of Wild Wheat,Sprightly Vonwacq
05ac10b3219f11ee9ea028c2dd2980ba,61,Seele,75,The Hunt,Only Silence Remains,80.0,5,8,8,8,2966.388,3169.988,992.327,117.0,42.908,91.612,48.88,0.0,0.0,28.08,18.576,0.0,Genius of Brilliant Stars,Celestial Differentiator
05ac10b3219f11ee9ea028c2dd2980ba,61,Bailu,71,Abundance,Post-Op Conversation,70.0,4,7,6,6,4673.341,1315.044,1287.355,100.0,11.156,72.291,19.285,10.0,10.0,20.848,2.765,5.184,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10b3219f11ee9ea028c2dd2980ba,61,Silver Wolf,75,Nihility,Before the Tutorial Mission Starts,70.0,4,7,7,7,3515.427,1617.222,987.178,130.326,27.162,93.027,39.017,0.0,0.0,4.32,75.12,0.0,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10b4219f11eeb95628c2dd2980ba,60,Seele,76,The Hunt,Cruising in the Stellar Sea,78.0,4,10,10,9,3097.037,3009.335,1139.071,121.3,36.328,167.96,48.88,0.0,0.0,7.776,10.8,22.032,Genius of Brilliant Stars,Space Sealing Station
05ac10b4219f11eeb95628c2dd2980ba,60,Welt,65,Nihility,Loop,70.0,2,8,8,8,2798.676,1604.122,752.165,106.9,46.796,50.0,18.0,0.0,0.0,11.664,0.0,12.312,Wastelander of Banditry Desert,Space Sealing Station
05ac10b4219f11eeb95628c2dd2980ba,60,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,1,8,8,8,2058.416,1552.653,856.698,133.032,37.4,56.48,13.2,0.0,24.439,0.0,55.875,28.512,Genius of Brilliant Stars,Sprightly Vonwacq
05ac10b4219f11eeb95628c2dd2980ba,60,Himeko,50,Erudition,Geniuses' Repose,30.0,2,3,3,3,1172.366,910.199,481.264,100.0,18.184,61.664,13.2,0.0,0.0,4.32,3.456,10.368,Firesmith of Lava-Forging,Inert Salsotto
05ac10b5219f11eebbef28c2dd2980ba,60,Yanqing,70,The Hunt,Cruising in the Stellar Sea,70.0,4,6,6,6,2738.524,2725.351,955.557,109.0,50.708,144.09,40.348,0.0,0.0,12.528,12.096,11.664,Musketeer of Wild Wheat,Inert Salsotto
05ac10b5219f11eebbef28c2dd2980ba,60,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,4,8,8,6,2595.529,1553.425,889.308,125.426,15.433,50.0,19.285,0.0,0.0,15.898,89.295,129.778,Thief of Shooting Meteor,Talia: Kingdom of Banditry
05ac10b5219f11eebbef28c2dd2980ba,60,Jing Yuan,75,Erudition,The Seriousness of Breakfast,70.0,1,6,6,8,2393.941,2094.634,1103.345,124.032,67.25,83.307,35.878,0.0,0.0,19.872,34.992,11.016,Band of Sizzling Thunder,Inert Salsotto
05ac10b5219f11eebbef28c2dd2980ba,60,Gepard,70,Preservation,Landau's Choice,70.0,4,6,7,4,2520.804,1113.156,2363.874,96.6,9.147,61.664,11.2,0.0,17.939,28.749,11.318,12.312,Knight of Purity Palace,Sprightly Vonwacq
05ac10b6219f11ee98f728c2dd2980ba,60,Seele,80,The Hunt,In the Night,70.0,5,8,9,8,2979.541,2857.107,1105.351,128.8,81.644,87.276,48.88,0.0,0.0,0.0,17.776,63.304,"Genius of Brilliant Stars, Thief of Shooting Meteor",Pan-Galactic Commercial Enterprise
05ac10b6219f11ee98f728c2dd2980ba,60,Himeko,70,Erudition,Make the World Clamor,60.0,4,5,6,5,2305.249,1155.441,743.34,110.926,17.666,60.627,31.33,4.424,3.11,12.986,2.765,0.0,Firesmith of Lava-Forging,Inert Salsotto
05ac10b6219f11ee98f728c2dd2980ba,60,Welt,70,Nihility,Before the Tutorial Mission Starts,60.0,3,4,5,4,2348.24,1526.586,832.213,130.152,11.156,82.978,3.2,0.0,0.0,0.0,56.589,17.626,Musketeer of Wild Wheat,Celestial Differentiator
05ac10b6219f11ee98f728c2dd2980ba,60,Bronya,70,Harmony,Past and Future,60.0,3,4,5,4,2481.178,1881.199,897.622,99.0,7.592,75.518,3.2,0.0,0.0,3.456,10.368,55.398,Thief of Shooting Meteor,Fleet of the Ageless
05ac10b7219f11eea8db28c2dd2980ba,61,Seele,80,The Hunt,Cruising in the Stellar Sea,80.0,5,10,8,7,3348.463,3124.93,1005.747,148.032,79.544,102.828,10.0,0.0,0.0,0.0,23.76,23.976,"Genius of Brilliant Stars, Musketeer of Wild Wheat",Inert Salsotto
05ac10b7219f11eea8db28c2dd2980ba,61,Hook,1,Destruction,,,2,3,3,3,182.4,84.0,48.0,94.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,
05ac10b7219f11eea8db28c2dd2980ba,61,Arlan,1,Destruction,,,1,1,1,1,163.2,81.6,45.0,102.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,
05ac10b7219f11eea8db28c2dd2980ba,61,Herta,1,Erudition,,,2,3,3,3,129.6,79.2,54.0,100.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,
05ac10b8219f11eea3eb28c2dd2980ba,61,Bailu,70,Abundance,Post-Op Conversation,60.0,2,6,6,6,3475.13,1144.739,799.541,98.0,10.184,83.696,0.0,44.561,8.0,10.998,28.771,9.331,Passerby of Wandering Cloud,
05ac10b8219f11eea3eb28c2dd2980ba,61,Seele,70,The Hunt,Cruising in the Stellar Sea,70.0,4,6,6,6,2409.324,2273.32,781.876,131.426,69.591,113.231,48.88,0.0,0.0,16.848,10.454,29.16,Genius of Brilliant Stars,Inert Salsotto
05ac10b8219f11eea3eb28c2dd2980ba,61,Jing Yuan,60,Erudition,Geniuses' Repose,70.0,4,6,6,6,2541.465,1821.54,828.368,130.932,27.364,165.344,10.0,0.0,3.11,12.096,16.416,12.312,Band of Sizzling Thunder,Inert Salsotto
05ac10b8219f11eea3eb28c2dd2980ba,61,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,60.0,4,6,6,6,2694.327,1388.527,767.283,107.0,5.0,76.179,47.726,0.0,0.0,15.984,106.117,69.595,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10b9219f11ee854d28c2dd2980ba,61,Seele,80,The Hunt,In the Night,80.0,3,7,7,7,3501.607,2863.99,874.293,117.0,74.74,125.119,42.348,0.0,0.0,20.736,8.208,0.0,Genius of Brilliant Stars,Inert Salsotto
05ac10b9219f11ee854d28c2dd2980ba,61,Bronya,60,Harmony,Past and Future,60.0,3,6,6,6,2621.175,1268.398,814.661,114.426,5.0,140.023,54.88,0.0,0.0,7.456,3.11,20.347,Musketeer of Wild Wheat,Fleet of the Ageless
05ac10b9219f11ee854d28c2dd2980ba,61,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,1,7,7,5,2768.133,1682.604,769.106,123.632,28.976,65.682,33.853,0.0,0.0,15.984,107.088,73.354,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10b9219f11ee854d28c2dd2980ba,61,Sushang,71,The Hunt,Subscribe for More!,80.0,2,7,6,6,2784.49,2466.453,1023.294,111.9,62.572,137.48,42.348,0.0,0.0,4.32,3.888,22.032,Champion of Streetwise Boxing,Inert Salsotto
05ac10ba219f11ee812528c2dd2980ba,60,Bronya,70,Harmony,But the Battle Isn't Over,70.0,3,7,8,3,3649.542,1282.636,1169.007,101.3,14.72,129.758,16.0,0.0,10.0,10.912,9.677,16.848,Guard of Wuthering Snow,Fleet of the Ageless
05ac10ba219f11ee812528c2dd2980ba,60,Bailu,70,Abundance,Quid Pro Quo,70.0,3,7,7,6,5170.328,1197.901,930.39,109.2,18.738,65.811,0.0,33.003,0.0,30.352,5.53,4.666,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10ba219f11ee812528c2dd2980ba,60,Seele,78,The Hunt,In the Night,80.0,5,8,9,9,3551.547,2331.834,1024.035,121.9,38.617,163.799,35.817,0.0,0.0,18.576,11.232,15.811,Genius of Brilliant Stars,Celestial Differentiator
05ac10ba219f11ee812528c2dd2980ba,60,Jing Yuan,70,Erudition,The Seriousness of Breakfast,70.0,4,7,8,8,2865.706,2363.405,854.029,103.9,58.745,130.8,46.703,0.0,0.0,11.232,19.008,29.808,Band of Sizzling Thunder,Celestial Differentiator
05ac10bb219f11eeb30028c2dd2980ba,62,Silver Wolf,80,Nihility,Incessant Rain,80.0,5,7,7,7,3075.73,3390.148,1262.245,111.9,10.832,73.328,13.2,0.0,0.0,19.44,131.92,0.0,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10bb219f11eeb30028c2dd2980ba,62,Bronya,70,Harmony,Dance! Dance! Dance!,60.0,3,4,7,6,3054.735,1314.505,1357.512,105.6,30.142,87.276,21.2,0.0,24.439,12.64,12.096,17.496,Eagle of Twilight Line,Sprightly Vonwacq
05ac10bb219f11eeb30028c2dd2980ba,62,Gepard,70,Preservation,Texture of Memories,70.0,3,6,7,6,3483.34,1564.439,3201.555,94.0,20.552,79.16,16.0,0.0,0.0,45.872,50.976,28.512,Knight of Purity Palace,Belobog of the Architects
05ac10bb219f11eeb30028c2dd2980ba,62,Seele,80,The Hunt,Sleep Like the Dead,70.0,5,8,8,8,2784.685,2495.899,977.709,136.0,50.908,116.628,46.703,0.0,18.351,11.232,0.0,16.2,Genius of Brilliant Stars,Inert Salsotto
05ac10bc219f11eebe8e28c2dd2980ba,60,Seele,69,The Hunt,Cruising in the Stellar Sea,70.0,5,8,8,8,2337.671,2522.541,991.54,115.0,33.406,81.574,10.0,0.0,0.0,9.331,0.0,38.491,"Genius of Brilliant Stars, Musketeer of Wild Wheat",Inert Salsotto
05ac10bc219f11eebe8e28c2dd2980ba,60,Trailblazer,69,Preservation,We Are Wildfire,60.0,6,7,8,8,2510.267,1177.943,2145.908,96.8,14.072,54.666,0.0,0.0,0.0,5.53,12.442,5.184,Knight of Purity Palace,Belobog of the Architects
05ac10bc219f11eebe8e28c2dd2980ba,60,Dan Heng,69,The Hunt,Arrows,50.0,5,8,8,8,1844.597,1150.923,816.067,112.0,19.48,109.719,56.171,0.0,0.0,13.565,12.442,4.666,Eagle of Twilight Line,Inert Salsotto
05ac10bd219f11ee858728c2dd2980ba,61,Bronya,70,Harmony,Past and Future,70.0,3,8,8,8,2442.116,1238.336,975.779,107.54,7.592,73.15,22.221,0.0,0.0,7.456,6.566,0.0,Musketeer of Wild Wheat,Fleet of the Ageless
05ac10bd219f11ee858728c2dd2980ba,61,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,3,8,8,8,2764.475,1556.055,1116.098,123.1,7.916,89.528,13.2,0.0,13.996,0.0,115.296,17.496,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10bd219f11ee858728c2dd2980ba,61,Seele,80,The Hunt,Cruising in the Stellar Sea,80.0,6,9,9,9,3378.724,3425.94,1135.632,124.5,41.736,161.48,10.0,0.0,0.0,15.12,3.456,0.0,Genius of Brilliant Stars,Space Sealing Station
05ac10be219f11eeb22628c2dd2980ba,61,Bronya,70,Harmony,Past and Future,70.0,5,8,8,8,2609.103,1906.8,1066.688,130.566,9.666,155.505,16.0,0.0,12.908,18.429,3.456,17.107,Musketeer of Wild Wheat,Celestial Differentiator
05ac10be219f11eeb22628c2dd2980ba,61,Jing Yuan,70,Erudition,The Birth of the Self,70.0,2,8,8,8,2865.061,2653.92,959.436,104.2,31.364,145.256,48.88,0.0,0.0,14.256,20.304,23.976,Band of Sizzling Thunder,Inert Salsotto
05ac10be219f11eeb22628c2dd2980ba,61,Seele,80,The Hunt,Sleep Like the Dead,80.0,5,10,9,8,3313.652,2994.906,1082.65,117.0,67.108,152.6,48.88,0.0,0.0,0.0,7.776,44.712,Genius of Brilliant Stars,Inert Salsotto
05ac10be219f11eeb22628c2dd2980ba,61,Gepard,70,Preservation,Texture of Memories,70.0,4,6,8,6,2870.289,1384.112,3492.073,94.3,24.764,61.664,11.2,0.0,0.0,18.221,9.331,22.68,Knight of Purity Palace,Belobog of the Architects
