uid,name,element,level,cons,weapon
1ca003a0218411eea3e928c2dd2980ba,Serval,lightning,70,1,Make the World Clamor
1ca003a0218411eea3e928c2dd2980ba,Dan Heng,wind,70,1,River Flows in Spring
1ca003a0218411eea3e928c2dd2980ba,March 7th,ice,70,3,Landau's Choice
1ca003a0218411eea3e928c2dd2980ba,Natasha,physical,60,0,Post-Op Conversation
1c9f4049218411eeb48828c2dd2980ba,Jing Yuan,lightning,62,0,The Birth of the Self
1c9f4049218411eeb48828c2dd2980ba,Bailu,lightning,60,0,Perfect Timing
1c9f4049218411eeb48828c2dd2980ba,Serval,lightning,60,0,Geniuses' Repose
1c9f4049218411eeb48828c2dd2980ba,Tingyun,lightning,50,4,Planetary Rendezvous
1c9f4049218411eeb48828c2dd2980ba,Trailblazer,fire,64,1,Trend of the Universal Market
1c9f4049218411eeb48828c2dd2980ba,Dan Heng,wind,60,4,Cruising in the Stellar Sea
1c9f4049218411eeb48828c2dd2980ba,Welt,imaginary,50,0,Fermata
1c9f4049218411eeb48828c2dd2980ba,March 7th,ice,50,2,Something Irreplaceable
1ca003a1218411ee948128c2dd2980ba,Gepard,ice,77,1,Moment of Victory
1ca003a1218411ee948128c2dd2980ba,Dan Heng,wind,75,4,Only Silence Remains
1ca003a1218411ee948128c2dd2980ba,Trailblazer,physical,73,6,The Moles Welcome You
1ca003a1218411ee948128c2dd2980ba,Jing Yuan,lightning,70,0,Before Dawn
1ca003a1218411ee948128c2dd2980ba,Seele,quantum,70,0,River Flows in Spring
1ca003a1218411ee948128c2dd2980ba,Welt,imaginary,70,0,We Will Meet Again
1ca003a1218411ee948128c2dd2980ba,Serval,lightning,70,3,Make the World Clamor
1ca003a1218411ee948128c2dd2980ba,Natasha,physical,68,6,Post-Op Conversation
1c9f404b218411ee923128c2dd2980ba,Trailblazer,fire,60,1,We Are Wildfire
1c9f404b218411ee923128c2dd2980ba,Gepard,ice,60,0,Amber
1c9f404b218411ee923128c2dd2980ba,Seele,quantum,60,0,In the Night
1c9f404b218411ee923128c2dd2980ba,Sushang,physical,60,1,Return to Darkness
1c9f404b218411ee923128c2dd2980ba,Tingyun,lightning,60,1,Memories of the Past
1c9f404b218411ee923128c2dd2980ba,Pela,ice,60,1,Eyes of the Prey
1c9f404b218411ee923128c2dd2980ba,Dan Heng,wind,30,1,
1c9f404b218411ee923128c2dd2980ba,Qingque,quantum,20,0,
1ca003a2218411eeb3be28c2dd2980ba,Trailblazer,fire,70,5,We Are Wildfire
1ca003a2218411eeb3be28c2dd2980ba,Jing Yuan,lightning,70,0,The Seriousness of Breakfast
1ca003a2218411eeb3be28c2dd2980ba,Seele,quantum,70,0,In the Night
1ca003a2218411eeb3be28c2dd2980ba,Tingyun,lightning,70,4,"Carve the Moon, Weave the Clouds"
1ca003a2218411eeb3be28c2dd2980ba,Natasha,physical,70,3,Time Waits for No One
1ca003a2218411eeb3be28c2dd2980ba,Gepard,ice,65,0,Day One of My New Life
1ca003a2218411eeb3be28c2dd2980ba,Welt,imaginary,60,0,Loop
1ca003a2218411eeb3be28c2dd2980ba,Asta,fire,60,4,Meshing Cogs
1ca003a3218411eea71c28c2dd2980ba,Silver Wolf,quantum,80,3,Before the Tutorial Mission Starts
1ca003a3218411eea71c28c2dd2980ba,Clara,physical,70,0,On the Fall of an Aeon
1ca003a3218411eea71c28c2dd2980ba,Tingyun,lightning,70,5,Past and Future
1ca003a3218411eea71c28c2dd2980ba,Hook,fire,70,5,The Moles Welcome You
1ca003a3218411eea71c28c2dd2980ba,Trailblazer,fire,70,5,Trend of the Universal Market
1ca003a3218411eea71c28c2dd2980ba,Natasha,physical,70,6,Perfect Timing
1ca003a3218411eea71c28c2dd2980ba,Serval,lightning,70,6,Night on the Milky Way
1ca003a3218411eea71c28c2dd2980ba,Sampo,wind,70,2,Fermata
1ca003a4218411eeaf2a28c2dd2980ba,Jing Yuan,lightning,80,0,Before Dawn
1ca003a4218411eeaf2a28c2dd2980ba,Seele,quantum,76,0,Cruising in the Stellar Sea
1ca003a4218411eeaf2a28c2dd2980ba,Trailblazer,fire,71,5,Day One of My New Life
1ca003a4218411eeaf2a28c2dd2980ba,Bailu,lightning,71,0,Quid Pro Quo
1ca003a4218411eeaf2a28c2dd2980ba,Gepard,ice,71,0,Moment of Victory
1ca003a4218411eeaf2a28c2dd2980ba,Bronya,wind,71,0,Dance! Dance! Dance!
1ca003a4218411eeaf2a28c2dd2980ba,Tingyun,lightning,71,3,Planetary Rendezvous
1ca003a4218411eeaf2a28c2dd2980ba,Natasha,physical,71,4,Perfect Timing
1ca003a5218411ee98e228c2dd2980ba,Seele,quantum,69,0,Swordplay
1ca003a5218411ee98e228c2dd2980ba,Dan Heng,wind,69,1,River Flows in Spring
1ca003a5218411ee98e228c2dd2980ba,Welt,imaginary,68,2,Good Night and Sleep Well
1ca003a5218411ee98e228c2dd2980ba,Bailu,lightning,66,0,Post-Op Conversation
1ca003a5218411ee98e228c2dd2980ba,Trailblazer,fire,60,5,Day One of My New Life
1ca003a5218411ee98e228c2dd2980ba,Tingyun,lightning,60,2,Past and Future
1ca003a5218411ee98e228c2dd2980ba,Natasha,physical,60,5,Shared Feeling
1ca003a5218411ee98e228c2dd2980ba,March 7th,ice,60,2,We Are Wildfire
1ca003a7218411eeb43128c2dd2980ba,Trailblazer,fire,70,5,Moment of Victory
1ca003a7218411eeb43128c2dd2980ba,Jing Yuan,lightning,70,2,Before Dawn
1ca003a7218411eeb43128c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003a7218411eeb43128c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003a7218411eeb43128c2dd2980ba,Tingyun,lightning,70,2,"Carve the Moon, Weave the Clouds"
1ca003a7218411eeb43128c2dd2980ba,Natasha,physical,66,4,Time Waits for No One
1ca003a7218411eeb43128c2dd2980ba,Clara,physical,60,0,Something Irreplaceable
1ca003a7218411eeb43128c2dd2980ba,Asta,fire,60,5,Past and Future
1ca003a8218411ee823b28c2dd2980ba,Serval,lightning,70,0,The Seriousness of Breakfast
1ca003a8218411ee823b28c2dd2980ba,Clara,physical,69,0,A Secret Vow
1ca003a8218411ee823b28c2dd2980ba,Seele,quantum,69,0,Cruising in the Stellar Sea
1ca003a8218411ee823b28c2dd2980ba,Dan Heng,wind,69,1,Swordplay
1ca003a8218411ee823b28c2dd2980ba,Natasha,physical,67,5,Quid Pro Quo
1ca003a8218411ee823b28c2dd2980ba,Bronya,wind,66,0,But the Battle Isn't Over
1ca003a8218411ee823b28c2dd2980ba,Tingyun,lightning,66,0,Dance! Dance! Dance!
1ca003a8218411ee823b28c2dd2980ba,Trailblazer,fire,65,5,Amber
1ca003a9218411ee9b4d28c2dd2980ba,Trailblazer,fire,70,4,We Are Wildfire
1ca003a9218411ee9b4d28c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003a9218411ee9b4d28c2dd2980ba,Bronya,wind,70,0,Past and Future
1ca003a9218411ee9b4d28c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003a9218411ee9b4d28c2dd2980ba,Natasha,physical,70,2,Post-Op Conversation
1ca003a9218411ee9b4d28c2dd2980ba,Jing Yuan,lightning,60,0,The Seriousness of Breakfast
1ca003a9218411ee9b4d28c2dd2980ba,Clara,physical,60,2,Under the Blue Sky
1ca003a9218411ee9b4d28c2dd2980ba,Tingyun,lightning,60,0,Dance! Dance! Dance!
1ca003aa218411ee9a6c28c2dd2980ba,Trailblazer,fire,70,5,Landau's Choice
1ca003aa218411ee9a6c28c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003aa218411ee9a6c28c2dd2980ba,Bronya,wind,70,0,Memories of the Past
1ca003aa218411ee9a6c28c2dd2980ba,Welt,imaginary,70,0,Resolution Shines As Pearls of Sweat
1ca003aa218411ee9a6c28c2dd2980ba,Natasha,physical,70,2,Post-Op Conversation
1ca003aa218411ee9a6c28c2dd2980ba,Serval,lightning,70,1,The Seriousness of Breakfast
1ca003aa218411ee9a6c28c2dd2980ba,Clara,physical,60,0,Collapsing Sky
1ca003aa218411ee9a6c28c2dd2980ba,Tingyun,lightning,60,0,Chorus
1ca003ab218411ee913028c2dd2980ba,Jing Yuan,lightning,80,6,Before Dawn
1ca003ab218411ee913028c2dd2980ba,Seele,quantum,80,6,In the Night
1ca003ab218411ee913028c2dd2980ba,Silver Wolf,quantum,75,6,Incessant Rain
1ca003ab218411ee913028c2dd2980ba,Trailblazer,fire,70,5,Day One of My New Life
1ca003ab218411ee913028c2dd2980ba,Bailu,lightning,66,0,Time Waits for No One
1ca003ab218411ee913028c2dd2980ba,Clara,physical,60,3,Something Irreplaceable
1ca003ab218411ee913028c2dd2980ba,Gepard,ice,60,1,Trend of the Universal Market
1ca003ab218411ee913028c2dd2980ba,Bronya,wind,60,1,But the Battle Isn't Over
1ca003ac218411ee86c028c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003ac218411ee86c028c2dd2980ba,Pela,ice,70,0,Resolution Shines As Pearls of Sweat
1ca003ac218411ee86c028c2dd2980ba,Serval,lightning,70,5,The Seriousness of Breakfast
1ca003ac218411ee86c028c2dd2980ba,Trailblazer,fire,66,5,Quid Pro Quo
1ca003ac218411ee86c028c2dd2980ba,Bronya,wind,66,0,Past and Future
1ca003ac218411ee86c028c2dd2980ba,Silver Wolf,quantum,66,0,Before the Tutorial Mission Starts
1ca003ac218411ee86c028c2dd2980ba,Natasha,physical,66,4,Post-Op Conversation
1ca003ac218411ee86c028c2dd2980ba,March 7th,ice,66,3,Day One of My New Life
1ca003ad218411ee861d28c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003ad218411ee861d28c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003ad218411ee861d28c2dd2980ba,Tingyun,lightning,70,2,Past and Future
1ca003ad218411ee861d28c2dd2980ba,Serval,lightning,70,3,The Seriousness of Breakfast
1ca003ad218411ee861d28c2dd2980ba,Trailblazer,fire,60,4,Landau's Choice
1ca003ad218411ee861d28c2dd2980ba,Gepard,ice,60,2,Day One of My New Life
1ca003ad218411ee861d28c2dd2980ba,Himeko,fire,60,0,Today Is Another Peaceful Day
1ca003ad218411ee861d28c2dd2980ba,Pela,ice,60,3,Resolution Shines As Pearls of Sweat
1ca003ae218411ee862328c2dd2980ba,Seele,quantum,70,0,In the Night
1ca003ae218411ee862328c2dd2980ba,Dan Heng,wind,70,3,Cruising in the Stellar Sea
1ca003ae218411ee862328c2dd2980ba,Trailblazer,fire,69,5,Trend of the Universal Market
1ca003ae218411ee862328c2dd2980ba,Bailu,lightning,69,1,Quid Pro Quo
1ca003ae218411ee862328c2dd2980ba,Asta,fire,69,1,Memories of the Past
1ca003ae218411ee862328c2dd2980ba,Sushang,physical,60,2,Swordplay
1ca003ae218411ee862328c2dd2980ba,Pela,ice,60,3,Good Night and Sleep Well
1ca003ae218411ee862328c2dd2980ba,Natasha,physical,60,4,Post-Op Conversation
1ca003af218411ee938428c2dd2980ba,Jing Yuan,lightning,70,0,The Birth of the Self
1ca003af218411ee938428c2dd2980ba,Gepard,ice,70,0,Landau's Choice
1ca003af218411ee938428c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003af218411ee938428c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003af218411ee938428c2dd2980ba,Natasha,physical,70,6,Post-Op Conversation
1ca003af218411ee938428c2dd2980ba,Dan Heng,wind,70,2,Swordplay
1ca003af218411ee938428c2dd2980ba,Trailblazer,fire,60,5,Day One of My New Life
1ca003af218411ee938428c2dd2980ba,Yanqing,ice,60,1,Sleep Like the Dead
1ca003b0218411ee821028c2dd2980ba,Yanqing,ice,67,0,River Flows in Spring
1ca003b0218411ee821028c2dd2980ba,Jing Yuan,lightning,65,0,Before Dawn
1ca003b0218411ee821028c2dd2980ba,Natasha,physical,63,6,Time Waits for No One
1ca003b0218411ee821028c2dd2980ba,Trailblazer,fire,62,5,Landau's Choice
1ca003b0218411ee821028c2dd2980ba,Bronya,wind,62,0,Past and Future
1ca003b0218411ee821028c2dd2980ba,Welt,imaginary,61,0,Eyes of the Prey
1ca003b0218411ee821028c2dd2980ba,Sushang,physical,61,3,Only Silence Remains
1ca003b0218411ee821028c2dd2980ba,March 7th,ice,61,5,Day One of My New Life
1ca003b1218411eebfc128c2dd2980ba,Seele,quantum,77,2,In the Night
1ca003b1218411eebfc128c2dd2980ba,Jing Yuan,lightning,75,0,Before Dawn
1ca003b1218411eebfc128c2dd2980ba,Trailblazer,fire,72,5,Landau's Choice
1ca003b1218411eebfc128c2dd2980ba,Bronya,wind,72,1,But the Battle Isn't Over
1ca003b1218411eebfc128c2dd2980ba,Natasha,physical,72,6,Time Waits for No One
1ca003b1218411eebfc128c2dd2980ba,Yanqing,ice,70,0,Sleep Like the Dead
1ca003b1218411eebfc128c2dd2980ba,Clara,physical,70,0,Something Irreplaceable
1ca003b1218411eebfc128c2dd2980ba,Gepard,ice,70,0,Moment of Victory
1ca003b2218411ee8c4328c2dd2980ba,Trailblazer,fire,70,5,Trend of the Universal Market
1ca003b2218411ee8c4328c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003b2218411ee8c4328c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003b2218411ee8c4328c2dd2980ba,Tingyun,lightning,70,2,"Carve the Moon, Weave the Clouds"
1ca003b2218411ee8c4328c2dd2980ba,Natasha,physical,70,5,Post-Op Conversation
1ca003b2218411ee8c4328c2dd2980ba,Serval,lightning,70,2,Night on the Milky Way
1ca003b2218411ee8c4328c2dd2980ba,Dan Heng,wind,70,2,River Flows in Spring
1ca003b2218411ee8c4328c2dd2980ba,March 7th,ice,70,2,Day One of My New Life
1c9f405c218411eebd1328c2dd2980ba,Trailblazer,fire,70,4,Moment of Victory
1c9f405c218411eebd1328c2dd2980ba,Clara,physical,69,0,Something Irreplaceable
1c9f405c218411eebd1328c2dd2980ba,Jing Yuan,lightning,66,0,Geniuses' Repose
1c9f405c218411eebd1328c2dd2980ba,Qingque,quantum,60,0,The Seriousness of Breakfast
1c9f405c218411eebd1328c2dd2980ba,Hook,fire,60,3,Woof! Walk Time!
1c9f405c218411eebd1328c2dd2980ba,Pela,ice,60,4,Resolution Shines As Pearls of Sweat
1c9f405c218411eebd1328c2dd2980ba,Natasha,physical,60,2,Post-Op Conversation
1c9f405c218411eebd1328c2dd2980ba,Serval,lightning,60,1,Make the World Clamor
1ca003b3218411eebc4028c2dd2980ba,Trailblazer,fire,70,4,Trend of the Universal Market
1ca003b3218411eebc4028c2dd2980ba,Bailu,lightning,70,1,Shared Feeling
1ca003b3218411eebc4028c2dd2980ba,Jing Yuan,lightning,70,0,The Seriousness of Breakfast
1ca003b3218411eebc4028c2dd2980ba,Gepard,ice,70,0,Day One of My New Life
1ca003b3218411eebc4028c2dd2980ba,Seele,quantum,70,2,In the Night
1ca003b3218411eebc4028c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003b3218411eebc4028c2dd2980ba,Tingyun,lightning,70,1,"Carve the Moon, Weave the Clouds"
1ca003b3218411eebc4028c2dd2980ba,Natasha,physical,70,6,Perfect Timing
1ca003b4218411eebb9b28c2dd2980ba,Trailblazer,fire,70,5,Landau's Choice
1ca003b4218411eebb9b28c2dd2980ba,Jing Yuan,lightning,70,2,Before Dawn
1ca003b4218411eebb9b28c2dd2980ba,Seele,quantum,70,0,In the Night
1ca003b4218411eebb9b28c2dd2980ba,Bronya,wind,70,0,But the Battle Isn't Over
1ca003b4218411eebb9b28c2dd2980ba,March 7th,ice,70,6,Day One of My New Life
1ca003b4218411eebb9b28c2dd2980ba,Sushang,physical,69,3,Swordplay
1ca003b4218411eebb9b28c2dd2980ba,Tingyun,lightning,69,5,But the Battle Isn't Over
1ca003b4218411eebb9b28c2dd2980ba,Natasha,physical,69,3,Quid Pro Quo
1ca003b5218411eea97e28c2dd2980ba,Jing Yuan,lightning,80,1,Before Dawn
1ca003b5218411eea97e28c2dd2980ba,Seele,quantum,80,2,In the Night
1ca003b5218411eea97e28c2dd2980ba,Gepard,ice,75,1,Day One of My New Life
1ca003b5218411eea97e28c2dd2980ba,Bailu,lightning,72,0,Time Waits for No One
1ca003b5218411eea97e28c2dd2980ba,Bronya,wind,72,1,But the Battle Isn't Over
1ca003b5218411eea97e28c2dd2980ba,Tingyun,lightning,72,6,Planetary Rendezvous
1ca003b5218411eea97e28c2dd2980ba,Trailblazer,fire,70,5,
1ca003b5218411eea97e28c2dd2980ba,Natasha,physical,70,6,Time Waits for No One
1c9f4060218411ee89fb28c2dd2980ba,Trailblazer,fire,70,5,Day One of My New Life
1c9f4060218411ee89fb28c2dd2980ba,Gepard,ice,70,1,Moment of Victory
1c9f4060218411ee89fb28c2dd2980ba,Seele,quantum,70,0,In the Night
1c9f4060218411ee89fb28c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1c9f4060218411ee89fb28c2dd2980ba,Tingyun,lightning,70,0,Dance! Dance! Dance!
1c9f4060218411ee89fb28c2dd2980ba,Hook,fire,70,1,On the Fall of an Aeon
1c9f4060218411ee89fb28c2dd2980ba,Natasha,physical,70,6,Quid Pro Quo
1c9f4060218411ee89fb28c2dd2980ba,Asta,fire,70,4,But the Battle Isn't Over
1ca003b6218411eeb86328c2dd2980ba,Trailblazer,physical,67,6,Something Irreplaceable
1ca003b6218411eeb86328c2dd2980ba,Silver Wolf,quantum,67,0,Before the Tutorial Mission Starts
1ca003b6218411eeb86328c2dd2980ba,Welt,imaginary,67,0,We Will Meet Again
1ca003b6218411eeb86328c2dd2980ba,Natasha,physical,67,2,Post-Op Conversation
1ca003b6218411eeb86328c2dd2980ba,Serval,lightning,67,2,Make the World Clamor
1ca003b6218411eeb86328c2dd2980ba,Asta,fire,67,0,Dance! Dance! Dance!
1ca003b6218411eeb86328c2dd2980ba,Dan Heng,wind,67,2,Cruising in the Stellar Sea
1ca003b6218411eeb86328c2dd2980ba,Pela,ice,60,3,Eyes of the Prey
1ca003b7218411ee9d6628c2dd2980ba,Clara,physical,70,2,On the Fall of an Aeon
1ca003b7218411ee9d6628c2dd2980ba,Seele,quantum,70,0,In the Night
1ca003b7218411ee9d6628c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003b7218411ee9d6628c2dd2980ba,Tingyun,lightning,70,0,"Carve the Moon, Weave the Clouds"
1ca003b7218411ee9d6628c2dd2980ba,Gepard,ice,67,0,Trend of the Universal Market
1ca003b7218411ee9d6628c2dd2980ba,Natasha,physical,66,3,Post-Op Conversation
1ca003b7218411ee9d6628c2dd2980ba,Trailblazer,fire,60,5,We Are Wildfire
1ca003b7218411ee9d6628c2dd2980ba,Pela,ice,60,2,
1ca003b8218411eead9328c2dd2980ba,Trailblazer,fire,70,5,Day One of My New Life
1ca003b8218411eead9328c2dd2980ba,Bailu,lightning,70,0,Quid Pro Quo
1ca003b8218411eead9328c2dd2980ba,Bronya,wind,70,0,Past and Future
1ca003b8218411eead9328c2dd2980ba,Sushang,physical,70,2,Only Silence Remains
1ca003b8218411eead9328c2dd2980ba,Serval,lightning,70,6,Night on the Milky Way
1ca003b8218411eead9328c2dd2980ba,Arlan,lightning,70,2,On the Fall of an Aeon
1ca003b8218411eead9328c2dd2980ba,Dan Heng,wind,70,1,Swordplay
1ca003b8218411eead9328c2dd2980ba,March 7th,ice,70,0,Day One of My New Life
1c9f4064218411ee8ecd28c2dd2980ba,Trailblazer,fire,70,4,Moment of Victory
1c9f4064218411ee8ecd28c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1c9f4064218411ee8ecd28c2dd2980ba,Tingyun,lightning,70,1,Dance! Dance! Dance!
1c9f4064218411ee8ecd28c2dd2980ba,Natasha,physical,70,6,Time Waits for No One
1c9f4064218411ee8ecd28c2dd2980ba,Jing Yuan,lightning,61,0,The Birth of the Self
1c9f4064218411ee8ecd28c2dd2980ba,Bronya,wind,60,0,Past and Future
1c9f4064218411ee8ecd28c2dd2980ba,March 7th,ice,60,0,Day One of My New Life
1c9f4064218411ee8ecd28c2dd2980ba,Himeko,fire,50,1,The Seriousness of Breakfast
1ca003b9218411ee8ee428c2dd2980ba,Trailblazer,fire,70,5,Landau's Choice
1ca003b9218411ee8ee428c2dd2980ba,Bailu,lightning,70,2,Time Waits for No One
1ca003b9218411ee8ee428c2dd2980ba,Jing Yuan,lightning,70,0,Before Dawn
1ca003b9218411ee8ee428c2dd2980ba,Seele,quantum,70,0,Sleep Like the Dead
1ca003b9218411ee8ee428c2dd2980ba,Bronya,wind,70,0,But the Battle Isn't Over
1ca003b9218411ee8ee428c2dd2980ba,Welt,imaginary,70,0,In the Name of the World
1ca003b9218411ee8ee428c2dd2980ba,Tingyun,lightning,70,6,"Carve the Moon, Weave the Clouds"
1ca003b9218411ee8ee428c2dd2980ba,Natasha,physical,70,4,Quid Pro Quo
1ca003ba218411eeb99928c2dd2980ba,Seele,quantum,70,0,Cruising in the Stellar Sea
1ca003ba218411eeb99928c2dd2980ba,Jing Yuan,lightning,70,0,The Birth of the Self
1ca003ba218411eeb99928c2dd2980ba,Silver Wolf,quantum,60,0,Before the Tutorial Mission Starts
1ca003ba218411eeb99928c2dd2980ba,Bronya,wind,70,0,Past and Future
1ca003ba218411eeb99928c2dd2980ba,Trailblazer,fire,70,5,Landau's Choice
1ca003ba218411eeb99928c2dd2980ba,Gepard,ice,60,0,Trend of the Universal Market
1ca003ba218411eeb99928c2dd2980ba,Bailu,lightning,60,0,Warmth Shortens Cold Nights
1ca003ba218411eeb99928c2dd2980ba,Sushang,physical,60,6,River Flows in Spring
1ca003bb218411eeb3f728c2dd2980ba,Trailblazer,fire,70,5,Day One of My New Life
1ca003bb218411eeb3f728c2dd2980ba,Bailu,lightning,69,0,Post-Op Conversation
1ca003bb218411eeb3f728c2dd2980ba,Yanqing,ice,69,1,Swordplay
1ca003bb218411eeb3f728c2dd2980ba,Seele,quantum,69,0,Cruising in the Stellar Sea
1ca003bb218411eeb3f728c2dd2980ba,Silver Wolf,quantum,69,0,Before the Tutorial Mission Starts
1ca003bb218411eeb3f728c2dd2980ba,Tingyun,lightning,69,2,Dance! Dance! Dance!
1ca003bb218411eeb3f728c2dd2980ba,Natasha,physical,69,6,Quid Pro Quo
1ca003bb218411eeb3f728c2dd2980ba,Serval,lightning,69,2,The Birth of the Self
1ca003bc218411eea86d28c2dd2980ba,Trailblazer,fire,80,5,Landau's Choice
1ca003bc218411eea86d28c2dd2980ba,Jing Yuan,lightning,80,0,Before Dawn
1ca003bc218411eea86d28c2dd2980ba,Seele,quantum,80,0,Cruising in the Stellar Sea
1ca003bc218411eea86d28c2dd2980ba,Sushang,physical,80,1,Sleep Like the Dead
1ca003bc218411eea86d28c2dd2980ba,Gepard,ice,70,0,Trend of the Universal Market
1ca003bc218411eea86d28c2dd2980ba,Bronya,wind,70,1,But the Battle Isn't Over
1ca003bc218411eea86d28c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca003bc218411eea86d28c2dd2980ba,Tingyun,lightning,70,2,Dance! Dance! Dance!
1c9f4069218411eea54628c2dd2980ba,Trailblazer,fire,70,2,We Are Wildfire
1c9f4069218411eea54628c2dd2980ba,Bailu,lightning,70,0,Time Waits for No One
1c9f4069218411eea54628c2dd2980ba,Seele,quantum,70,0,Sleep Like the Dead
1c9f4069218411eea54628c2dd2980ba,Natasha,physical,60,2,Post-Op Conversation
